2536738.00000000	1195579.00000000	735.90700000
2536739.00000000	1195579.00000000	735.92300000
2536740.00000000	1195579.00000000	735.88900000
2536741.00000000	1195579.00000000	735.86100000
2536742.00000000	1195579.00000000	735.84500000
2536743.00000000	1195579.00000000	736.00000000
2536744.00000000	1195579.00000000	735.78959980
2536745.00000000	1195579.00000000	735.71340808
2536746.00000000	1195579.00000000	735.78100000
2536747.00000000	1195579.00000000	735.64900000
2536748.00000000	1195579.00000000	735.55900000
2536749.00000000	1195579.00000000	735.42200000
2536750.00000000	1195579.00000000	735.29400000
2536751.00000000	1195579.00000000	735.22600000
2536752.00000000	1195579.00000000	735.05085494
2536753.00000000	1195579.00000000	734.87200000
2536754.00000000	1195579.00000000	735.05486834
2536755.00000000	1195579.00000000	734.95000000
2536756.00000000	1195579.00000000	735.05600000
2536757.00000000	1195579.00000000	735.03700000
2536758.00000000	1195579.00000000	735.10500000
2536759.00000000	1195579.00000000	735.11300000
2536760.00000000	1195579.00000000	735.16923616
2536761.00000000	1195579.00000000	735.19983996
2536762.00000000	1195579.00000000	735.18890849
2536763.00000000	1195579.00000000	735.20901615
2536764.00000000	1195579.00000000	735.26800000
2536765.00000000	1195579.00000000	735.19400000
2536766.00000000	1195579.00000000	735.20600000
2536767.00000000	1195579.00000000	735.15800000
2536768.00000000	1195579.00000000	735.18300000
2536769.00000000	1195579.00000000	735.33700000
2536770.00000000	1195579.00000000	735.24800000
2536771.00000000	1195579.00000000	735.20700000
2536772.00000000	1195579.00000000	735.18500000
2536773.00000000	1195579.00000000	735.20800000
2536774.00000000	1195579.00000000	735.12600000
2536775.00000000	1195579.00000000	735.11500000
2536776.00000000	1195579.00000000	735.12100000
2536777.00000000	1195579.00000000	735.17900000
2536778.00000000	1195579.00000000	735.17200000
2536779.00000000	1195579.00000000	735.16900000
2536780.00000000	1195579.00000000	735.15600000
2536781.00000000	1195579.00000000	735.29600000
2536782.00000000	1195579.00000000	735.29600000
2536783.00000000	1195579.00000000	735.06720341
2536784.00000000	1195579.00000000	735.07300000
2536785.00000000	1195579.00000000	735.08800000
2536786.00000000	1195579.00000000	735.10100000
2536787.00000000	1195579.00000000	735.10100000
2536788.00000000	1195579.00000000	735.07200000
2536789.00000000	1195579.00000000	735.19200000
2536790.00000000	1195579.00000000	735.23100000
2536791.00000000	1195579.00000000	735.24500000
2536792.00000000	1195579.00000000	735.20100000
2536793.00000000	1195579.00000000	735.25100000
2536794.00000000	1195579.00000000	735.25000000
2536795.00000000	1195579.00000000	735.27600000
2536796.00000000	1195579.00000000	735.30400000
2536797.00000000	1195579.00000000	735.31900000
2536798.00000000	1195579.00000000	735.29900000
2536799.00000000	1195579.00000000	735.26200000
2536800.00000000	1195579.00000000	735.28300000
2536801.00000000	1195579.00000000	735.27700000
2536802.00000000	1195579.00000000	735.31926901
2536803.00000000	1195579.00000000	735.36900000
2536804.00000000	1195579.00000000	735.26922729
2536805.00000000	1195579.00000000	735.24741743
2536806.00000000	1195579.00000000	735.23827289
2536807.00000000	1195579.00000000	735.36500000
2536808.00000000	1195579.00000000	735.35000000
2536809.00000000	1195579.00000000	735.34619499
2536810.00000000	1195579.00000000	735.38600000
2536811.00000000	1195579.00000000	735.43100000
2536812.00000000	1195579.00000000	735.41100000
2536813.00000000	1195579.00000000	735.45000000
2536814.00000000	1195579.00000000	735.47300000
2536815.00000000	1195579.00000000	735.60500000
2536816.00000000	1195579.00000000	735.43800000
2536817.00000000	1195579.00000000	735.39000000
2536818.00000000	1195579.00000000	735.26600000
2536819.00000000	1195579.00000000	735.35600000
2536820.00000000	1195579.00000000	735.31800000
2536821.00000000	1195579.00000000	735.30800000
2536822.00000000	1195579.00000000	735.28200000
2536823.00000000	1195579.00000000	735.32500000
2536824.00000000	1195579.00000000	735.35700000
2536825.00000000	1195579.00000000	735.35100000
2536826.00000000	1195579.00000000	735.30400000
2536827.00000000	1195579.00000000	735.31200000
2536828.00000000	1195579.00000000	735.35600000
2536829.00000000	1195579.00000000	735.36200000
2536830.00000000	1195579.00000000	735.39900000
2536831.00000000	1195579.00000000	735.47000000
2536832.00000000	1195579.00000000	735.50800000
2536833.00000000	1195579.00000000	735.47300000
2536834.00000000	1195579.00000000	735.46300000
2536835.00000000	1195579.00000000	735.49900000
2536836.00000000	1195579.00000000	735.56100000
2536837.00000000	1195579.00000000	735.59500000
2536838.00000000	1195579.00000000	735.81200000
2536839.00000000	1195579.00000000	735.62573767
2536840.00000000	1195579.00000000	735.71218632
2536841.00000000	1195579.00000000	735.76668332
2536842.00000000	1195579.00000000	735.80156046
2536843.00000000	1195579.00000000	735.91400000
2536844.00000000	1195579.00000000	735.91107726
2536845.00000000	1195579.00000000	735.99336097
2536846.00000000	1195579.00000000	736.02532045
2536847.00000000	1195579.00000000	736.09248991
2536848.00000000	1195579.00000000	736.14749667
2536849.00000000	1195579.00000000	736.14525888
2536850.00000000	1195579.00000000	736.19900000
2536851.00000000	1195579.00000000	736.21500000
2536852.00000000	1195579.00000000	736.32900000
2536853.00000000	1195579.00000000	736.40000000
2536854.00000000	1195579.00000000	736.45800000
2536855.00000000	1195579.00000000	736.54700000
2536856.00000000	1195579.00000000	736.58300000
2536857.00000000	1195579.00000000	736.65900000
2536858.00000000	1195579.00000000	736.64100000
2536859.00000000	1195579.00000000	736.65800000
2536860.00000000	1195579.00000000	736.69300000
2536861.00000000	1195579.00000000	736.70800000
2536862.00000000	1195579.00000000	736.76700000
2536863.00000000	1195579.00000000	736.76400000
2536864.00000000	1195579.00000000	736.78000000
2536865.00000000	1195579.00000000	736.91442750
2536866.00000000	1195579.00000000	736.96762118
2536867.00000000	1195579.00000000	737.05591234
2536868.00000000	1195579.00000000	737.11013948
2536869.00000000	1195579.00000000	737.21705275
2536870.00000000	1195579.00000000	737.31910104
2536871.00000000	1195579.00000000	737.37500000
2536872.00000000	1195579.00000000	737.34800000
2536873.00000000	1195579.00000000	737.35500000
2536874.00000000	1195579.00000000	737.34000000
2536875.00000000	1195579.00000000	737.38100000
2536876.00000000	1195579.00000000	737.36400000
2536877.00000000	1195579.00000000	737.38300000
2536878.00000000	1195579.00000000	737.34500000
2536879.00000000	1195579.00000000	737.37200000
2536880.00000000	1195579.00000000	737.36100000
2536881.00000000	1195579.00000000	737.36100000
2536698.00000000	1195580.00000000	734.45100000
2536699.00000000	1195580.00000000	734.45100000
2536700.00000000	1195580.00000000	734.45100000
2536701.00000000	1195580.00000000	734.43600000
2536702.00000000	1195580.00000000	734.41200000
2536703.00000000	1195580.00000000	734.38400000
2536704.00000000	1195580.00000000	734.37400000
2536705.00000000	1195580.00000000	734.34700000
2536706.00000000	1195580.00000000	734.35800000
2536707.00000000	1195580.00000000	734.35300000
2536708.00000000	1195580.00000000	734.36700000
2536709.00000000	1195580.00000000	734.37200000
2536710.00000000	1195580.00000000	734.39700000
2536711.00000000	1195580.00000000	734.38000000
2536712.00000000	1195580.00000000	734.39100000
2536713.00000000	1195580.00000000	734.35700000
2536714.00000000	1195580.00000000	734.34200000
2536715.00000000	1195580.00000000	734.35900000
2536716.00000000	1195580.00000000	734.40100000
2536717.00000000	1195580.00000000	734.40500000
2536718.00000000	1195580.00000000	734.45900000
2536719.00000000	1195580.00000000	734.47300000
2536720.00000000	1195580.00000000	734.46400000
2536721.00000000	1195580.00000000	734.67800000
2536722.00000000	1195580.00000000	734.80900000
2536723.00000000	1195580.00000000	734.97700000
2536724.00000000	1195580.00000000	735.16400000
2536725.00000000	1195580.00000000	735.28000000
2536726.00000000	1195580.00000000	735.43100000
2536727.00000000	1195580.00000000	735.52700000
2536728.00000000	1195580.00000000	735.68700000
2536729.00000000	1195580.00000000	735.73900000
2536730.00000000	1195580.00000000	735.86000000
2536731.00000000	1195580.00000000	735.90400000
2536732.00000000	1195580.00000000	735.95900000
2536733.00000000	1195580.00000000	735.93200000
2536734.00000000	1195580.00000000	735.96900000
2536735.00000000	1195580.00000000	735.91200000
2536736.00000000	1195580.00000000	735.94700000
2536737.00000000	1195580.00000000	735.97787578
2536738.00000000	1195580.00000000	735.90700000
2536739.00000000	1195580.00000000	735.92300000
2536740.00000000	1195580.00000000	735.88900000
2536741.00000000	1195580.00000000	735.86100000
2536742.00000000	1195580.00000000	735.84500000
2536743.00000000	1195580.00000000	736.00000000
2536744.00000000	1195580.00000000	735.73369292
2536745.00000000	1195580.00000000	735.72166828
2536746.00000000	1195580.00000000	735.78100000
2536747.00000000	1195580.00000000	735.64900000
2536748.00000000	1195580.00000000	735.55900000
2536749.00000000	1195580.00000000	735.42200000
2536750.00000000	1195580.00000000	735.29400000
2536751.00000000	1195580.00000000	735.22600000
2536752.00000000	1195580.00000000	735.12600000
2536753.00000000	1195580.00000000	734.87200000
2536754.00000000	1195580.00000000	735.08084467
2536755.00000000	1195580.00000000	734.95000000
2536756.00000000	1195580.00000000	735.05600000
2536757.00000000	1195580.00000000	735.03700000
2536758.00000000	1195580.00000000	735.10500000
2536759.00000000	1195580.00000000	735.11300000
2536760.00000000	1195580.00000000	735.14520602
2536761.00000000	1195580.00000000	735.20822722
2536762.00000000	1195580.00000000	735.18097909
2536763.00000000	1195580.00000000	735.21058356
2536764.00000000	1195580.00000000	735.26800000
2536765.00000000	1195580.00000000	735.19400000
2536766.00000000	1195580.00000000	735.20600000
2536767.00000000	1195580.00000000	735.15800000
2536768.00000000	1195580.00000000	735.18300000
2536769.00000000	1195580.00000000	735.33700000
2536770.00000000	1195580.00000000	735.24800000
2536771.00000000	1195580.00000000	735.20700000
2536772.00000000	1195580.00000000	735.18500000
2536773.00000000	1195580.00000000	735.20800000
2536774.00000000	1195580.00000000	735.12600000
2536775.00000000	1195580.00000000	735.11500000
2536776.00000000	1195580.00000000	735.12100000
2536777.00000000	1195580.00000000	735.17900000
2536778.00000000	1195580.00000000	735.17200000
2536779.00000000	1195580.00000000	735.16900000
2536780.00000000	1195580.00000000	735.15600000
2536781.00000000	1195580.00000000	735.29600000
2536782.00000000	1195580.00000000	735.29600000
2536783.00000000	1195580.00000000	735.30600000
2536784.00000000	1195580.00000000	735.07300000
2536785.00000000	1195580.00000000	735.08800000
2536786.00000000	1195580.00000000	735.10100000
2536787.00000000	1195580.00000000	735.10100000
2536788.00000000	1195580.00000000	735.07200000
2536789.00000000	1195580.00000000	735.19200000
2536790.00000000	1195580.00000000	735.23100000
2536791.00000000	1195580.00000000	735.24500000
2536792.00000000	1195580.00000000	735.20100000
2536793.00000000	1195580.00000000	735.25100000
2536794.00000000	1195580.00000000	735.25000000
2536795.00000000	1195580.00000000	735.27600000
2536796.00000000	1195580.00000000	735.30400000
2536797.00000000	1195580.00000000	735.31900000
2536798.00000000	1195580.00000000	735.29900000
2536799.00000000	1195580.00000000	735.26200000
2536800.00000000	1195580.00000000	735.28300000
2536801.00000000	1195580.00000000	735.27700000
2536802.00000000	1195580.00000000	735.30349678
2536803.00000000	1195580.00000000	735.36900000
2536804.00000000	1195580.00000000	735.27058728
2536805.00000000	1195580.00000000	735.24644278
2536806.00000000	1195580.00000000	735.16963538
2536807.00000000	1195580.00000000	735.36500000
2536808.00000000	1195580.00000000	735.35000000
2536809.00000000	1195580.00000000	735.33623136
2536810.00000000	1195580.00000000	735.38600000
2536811.00000000	1195580.00000000	735.43100000
2536812.00000000	1195580.00000000	735.41100000
2536813.00000000	1195580.00000000	735.45000000
2536814.00000000	1195580.00000000	735.47300000
2536815.00000000	1195580.00000000	735.60500000
2536816.00000000	1195580.00000000	735.43800000
2536817.00000000	1195580.00000000	735.39000000
2536818.00000000	1195580.00000000	735.26600000
2536819.00000000	1195580.00000000	735.35600000
2536820.00000000	1195580.00000000	735.31800000
2536821.00000000	1195580.00000000	735.30800000
2536822.00000000	1195580.00000000	735.28200000
2536823.00000000	1195580.00000000	735.32500000
2536824.00000000	1195580.00000000	735.35700000
2536825.00000000	1195580.00000000	735.35100000
2536826.00000000	1195580.00000000	735.30400000
2536827.00000000	1195580.00000000	735.31200000
2536828.00000000	1195580.00000000	735.35600000
2536829.00000000	1195580.00000000	735.36200000
2536830.00000000	1195580.00000000	735.39900000
2536831.00000000	1195580.00000000	735.47000000
2536832.00000000	1195580.00000000	735.50800000
2536833.00000000	1195580.00000000	735.47300000
2536834.00000000	1195580.00000000	735.46300000
2536835.00000000	1195580.00000000	735.49900000
2536836.00000000	1195580.00000000	735.56100000
2536837.00000000	1195580.00000000	735.59500000
2536838.00000000	1195580.00000000	735.81200000
2536839.00000000	1195580.00000000	735.63106264
2536840.00000000	1195580.00000000	735.67453067
2536841.00000000	1195580.00000000	735.73353608
2536842.00000000	1195580.00000000	735.80009431
2536843.00000000	1195580.00000000	735.91400000
2536844.00000000	1195580.00000000	735.88398075
2536845.00000000	1195580.00000000	735.97842033
2536846.00000000	1195580.00000000	735.99850707
2536847.00000000	1195580.00000000	736.03337970
2536848.00000000	1195580.00000000	736.07954213
2536849.00000000	1195580.00000000	736.14186302
2536850.00000000	1195580.00000000	736.19900000
2536851.00000000	1195580.00000000	736.21500000
2536852.00000000	1195580.00000000	736.32900000
2536853.00000000	1195580.00000000	736.40000000
2536854.00000000	1195580.00000000	736.45800000
2536855.00000000	1195580.00000000	736.46762944
2536856.00000000	1195580.00000000	736.58300000
2536857.00000000	1195580.00000000	736.56059552
2536858.00000000	1195580.00000000	736.64100000
2536859.00000000	1195580.00000000	736.65800000
2536860.00000000	1195580.00000000	736.69300000
2536861.00000000	1195580.00000000	736.70800000
2536862.00000000	1195580.00000000	736.76700000
2536863.00000000	1195580.00000000	736.76400000
2536864.00000000	1195580.00000000	736.78000000
2536865.00000000	1195580.00000000	736.91354698
2536866.00000000	1195580.00000000	736.98689184
2536867.00000000	1195580.00000000	737.06350399
2536868.00000000	1195580.00000000	737.12510824
2536869.00000000	1195580.00000000	737.18063074
2536870.00000000	1195580.00000000	737.25620453
2536871.00000000	1195580.00000000	737.37500000
2536872.00000000	1195580.00000000	737.34800000
2536873.00000000	1195580.00000000	737.35500000
2536874.00000000	1195580.00000000	737.34000000
2536875.00000000	1195580.00000000	737.38100000
2536876.00000000	1195580.00000000	737.36400000
2536877.00000000	1195580.00000000	737.38300000
2536878.00000000	1195580.00000000	737.34500000
2536879.00000000	1195580.00000000	737.37200000
2536880.00000000	1195580.00000000	737.36100000
2536881.00000000	1195580.00000000	737.36100000
2536698.00000000	1195581.00000000	734.44500000
2536699.00000000	1195581.00000000	734.44500000
2536700.00000000	1195581.00000000	734.44500000
2536701.00000000	1195581.00000000	734.38700000
2536702.00000000	1195581.00000000	734.35100000
2536703.00000000	1195581.00000000	734.30900000
2536704.00000000	1195581.00000000	734.37200000
2536705.00000000	1195581.00000000	734.35900000
2536706.00000000	1195581.00000000	734.39500000
2536707.00000000	1195581.00000000	734.38500000
2536708.00000000	1195581.00000000	734.42300000
2536709.00000000	1195581.00000000	734.41400000
2536710.00000000	1195581.00000000	734.40000000
2536711.00000000	1195581.00000000	734.42100000
2536712.00000000	1195581.00000000	734.41400000
2536713.00000000	1195581.00000000	734.40100000
2536714.00000000	1195581.00000000	734.40400000
2536715.00000000	1195581.00000000	734.38200000
2536716.00000000	1195581.00000000	734.44800000
2536717.00000000	1195581.00000000	734.46400000
2536718.00000000	1195581.00000000	734.54400000
2536719.00000000	1195581.00000000	734.46200000
2536720.00000000	1195581.00000000	734.56300000
2536721.00000000	1195581.00000000	734.84300000
2536722.00000000	1195581.00000000	734.94500000
2536723.00000000	1195581.00000000	735.11500000
2536724.00000000	1195581.00000000	735.27000000
2536725.00000000	1195581.00000000	735.43400000
2536726.00000000	1195581.00000000	735.55700000
2536727.00000000	1195581.00000000	735.66200000
2536728.00000000	1195581.00000000	735.77100000
2536729.00000000	1195581.00000000	735.88700000
2536730.00000000	1195581.00000000	735.94000000
2536731.00000000	1195581.00000000	735.96100000
2536732.00000000	1195581.00000000	735.93200000
2536733.00000000	1195581.00000000	735.94400000
2536734.00000000	1195581.00000000	735.90600000
2536735.00000000	1195581.00000000	735.98300000
2536736.00000000	1195581.00000000	735.97600000
2536737.00000000	1195581.00000000	735.99200000
2536738.00000000	1195581.00000000	736.00000000
2536739.00000000	1195581.00000000	735.95400000
2536740.00000000	1195581.00000000	736.03400000
2536741.00000000	1195581.00000000	735.92700000
2536742.00000000	1195581.00000000	735.83700000
2536743.00000000	1195581.00000000	735.85800000
2536744.00000000	1195581.00000000	735.71785003
2536745.00000000	1195581.00000000	735.69423178
2536746.00000000	1195581.00000000	735.76800000
2536747.00000000	1195581.00000000	735.65600000
2536748.00000000	1195581.00000000	735.63400000
2536749.00000000	1195581.00000000	735.51900000
2536750.00000000	1195581.00000000	735.44100000
2536751.00000000	1195581.00000000	735.36200000
2536752.00000000	1195581.00000000	735.17500000
2536753.00000000	1195581.00000000	735.17700000
2536754.00000000	1195581.00000000	734.96800000
2536755.00000000	1195581.00000000	734.97800000
2536756.00000000	1195581.00000000	735.07600000
2536757.00000000	1195581.00000000	735.10300000
2536758.00000000	1195581.00000000	735.10200000
2536759.00000000	1195581.00000000	735.12000000
2536760.00000000	1195581.00000000	735.17182143
2536761.00000000	1195581.00000000	735.16496655
2536762.00000000	1195581.00000000	735.19879103
2536763.00000000	1195581.00000000	735.23400000
2536764.00000000	1195581.00000000	735.20100000
2536765.00000000	1195581.00000000	735.20300000
2536766.00000000	1195581.00000000	735.20800000
2536767.00000000	1195581.00000000	735.16700000
2536768.00000000	1195581.00000000	735.18400000
2536769.00000000	1195581.00000000	735.08900000
2536770.00000000	1195581.00000000	735.36700000
2536771.00000000	1195581.00000000	735.23300000
2536772.00000000	1195581.00000000	735.19300000
2536773.00000000	1195581.00000000	735.13200000
2536774.00000000	1195581.00000000	735.10500000
2536775.00000000	1195581.00000000	735.13200000
2536776.00000000	1195581.00000000	735.16500000
2536777.00000000	1195581.00000000	735.17100000
2536778.00000000	1195581.00000000	735.25400000
2536779.00000000	1195581.00000000	735.16900000
2536780.00000000	1195581.00000000	735.25600000
2536781.00000000	1195581.00000000	735.28200000
